IR, RED,X,Y,Z, heart_rate, respiration_rate, SPO2,Activity
119575,103657,0.032026,-0.038031,1.036842,70.58823529,16.66666667,80.24624767,3.00E+00
119604,103580,0.033027,-0.03703,1.038844,70.58823529,16.66666667,80.24624767,3.00E+00
119573,103533,0.034028,-0.033027,1.032839,70.58823529,16.66666667,80.24624767,5.00E+00
119533,103450,0.029024,-0.034028,1.03384,70.58823529,16.66666667,80.24624767,5.00E+00
119576,103452,0.029024,-0.03703,1.038844,70.58823529,16.66666667,80.24624767,5.00E+00
119740,103527,0.029024,-0.036029,1.032839,70.58823529,16.66666667,80.24624767,5.00E+00
115286,102246,0.034028,-0.03703,1.03384,70.58823529,16.66666667,80.24624767,4.00E+00
114528,101800,0.030024,-0.034028,1.031838,70.58823529,16.66666667,80.24624767,5.00E+00
114626,101808,0.027022,-0.035028,1.031838,70.58823529,16.66666667,80.24624767,5.00E+00
114929,101956,0.028023,-0.036029,1.030838,70.58823529,16.66666667,80.24624767,5.00E+00
115152,102096,0.034028,-0.036029,1.034841,70.58823529,16.66666667,80.24624767,4.00E+00
115281,102190,0.034028,-0.036029,1.037843,70.58823529,16.66666667,80.24624767,3.00E+00
115179,102146,0.029024,-0.03703,1.03384,70.58823529,16.66666667,80.24624767,5.00E+00
115126,102053,0.026021,-0.039032,1.038844,70.58823529,16.66666667,80.24624767,5.00E+00
115237,102040,0.029024,-0.034028,1.036842,70.58823529,16.66666667,80.24624767,5.00E+00
115370,102104,0.034028,-0.035028,1.030838,75,16.66666667,80.27467342,4.00E+00
115595,102175,0.033027,-0.03703,1.035842,75,16.66666667,80.27467342,3.00E+00
115829,102371,0.028023,-0.031025,1.029837,75,16.66666667,80.27467342,5.00E+00
115520,102337,0.035028,-0.036029,1.038844,75,16.66666667,80.27467342,5.00E+00
115476,102304,0.036029,-0.032026,1.038844,75,16.66666667,80.27467342,5.00E+00
117041,102944,0.031025,-0.036029,1.038844,75,16.66666667,80.27467342,5.00E+00
117555,103255,0.036029,-0.036029,1.036842,75,16.66666667,80.27467342,5.00E+00
117687,103381,0.029024,-0.033027,1.03384,75,16.66666667,80.27467342,5.00E+00
117732,103374,0.030024,-0.036029,1.032839,75,16.66666667,80.27467342,5.00E+00
